Potential applied (V),Index,WE(1).Current (A),WE(1).Potential (V),Time (s),Current range,,ABS,ABS/AREA,LOG J,,log j,Potential
-0.716705322,1,-0.000151978,-0.71774292,908.9472787,100 mA,,0.000151978,0.000193504,-3.713310474,,-3.69987,-0.71901
-0.715179443,2,-0.000132446,-0.716003418,910.4731577,100 mA,,0.000132446,0.000168636,-3.773050087,,-3.76737,-0.71745
-0.713653564,3,-0.000119934,-0.714538574,911.9990367,100 mA,,0.000119934,0.000152705,-3.816147266,,-3.8381,-0.71589
-0.712127686,4,-0.00011261,-0.712982178,913.5249157,100 mA,,0.00011261,0.000143379,-3.84351345,,-3.91205,-0.71433
-0.710601807,5,-6.71387E-05,-0.711425781,915.0507947,10 mA,,6.71387E-05,8.54836E-05,-4.068117136,,-4.00457,-0.71278
-0.709075928,6,-6.29272E-05,-0.71005249,916.5766737,10 mA,,6.29272E-05,8.01215E-05,-4.096251155,,-4.08582,-0.71122
-0.707550049,7,-5.96924E-05,-0.708496094,918.1025527,10 mA,,5.96924E-05,7.60027E-05,-4.119170966,,-4.13462,-0.70966
-0.70602417,8,-5.69458E-05,-0.707061768,919.6284317,10 mA,,5.69458E-05,7.25056E-05,-4.139628177,,-4.14099,-0.7081
-0.704498291,9,-5.48096E-05,-0.705383301,921.1543107,10 mA,,5.48096E-05,6.97857E-05,-4.156233484,,-4.16745,-0.70654
-0.702972412,10,-4.90723E-05,-0.703887939,922.6801897,1 mA,,4.90723E-05,6.24807E-05,-4.204253772,,-4.19325,-0.70498
-0.701446533,11,-4.76379E-05,-0.702484131,924.2060687,1 mA,,4.76379E-05,6.06545E-05,-4.217136913,,-4.21557,-0.70343
-0.699920654,12,-4.64172E-05,-0.700714111,925.7319477,1 mA,,4.64172E-05,5.91003E-05,-4.228410602,,-4.23157,-0.70187
-0.698394775,13,-4.53186E-05,-0.69909668,927.2578267,1 mA,,4.53186E-05,5.77014E-05,-4.238813363,,-4.23871,-0.70031
-0.696868896,14,-4.44336E-05,-0.697631836,928.7837057,1 mA,,4.44336E-05,5.65746E-05,-4.247378441,,-4.24811,-0.69875
-0.695343018,15,-4.3457E-05,-0.696166992,930.3095847,100 µA,,4.3457E-05,5.53312E-05,-4.257029827,,-4.25635,-0.6972
-0.693817139,16,-4.27856E-05,-0.694824219,931.8354636,100 µA,,4.27856E-05,5.44764E-05,-4.263791803,,-4.26356,-0.69564
-0.69229126,17,-4.22363E-05,-0.693115234,933.3613426,100 µA,,4.22363E-05,5.3777E-05,-4.269403726,,-4.26979,-0.69409
-0.690765381,18,-4.16565E-05,-0.691558838,934.8872216,100 µA,,4.16565E-05,5.30387E-05,-4.275407165,,-4.27537,-0.69253
-0.689239502,19,-4.11682E-05,-0.690124512,936.4131006,100 µA,,4.11682E-05,5.2417E-05,-4.280527867,,-4.28093,-0.69097
-0.687713623,20,-4.05945E-05,-0.688812256,937.9389796,10 µA,,4.05945E-05,5.16865E-05,-4.286622873,,-4.2862,-0.68942
-0.686187744,21,-4.01947E-05,-0.687011719,939.4648586,10 µA,,4.01947E-05,5.11775E-05,-4.290921067,,-4.29084,-0.68786
-0.684661865,22,-3.98315E-05,-0.686035156,940.9907376,10 µA,,3.98315E-05,5.07151E-05,-4.294862751,,-4.29494,-0.68631
-0.683135986,23,-3.95081E-05,-0.684295654,942.5166166,10 µA,,3.95081E-05,5.03032E-05,-4.298404214,,-4.29852,-0.68475
-0.681610107,24,-3.91937E-05,-0.682678223,944.0424956,10 µA,,3.91937E-05,4.9903E-05,-4.301873334,,-4.30204,-0.6832
-0.680084229,25,-3.88855E-05,-0.680999756,945.5683746,10 µA,,3.88855E-05,4.95106E-05,-4.305302216,,-4.30495,-0.68165
-0.67855835,26,-3.86566E-05,-0.679412842,947.0942536,10 µA,,3.86566E-05,4.92191E-05,-4.307866046,,-4.30763,-0.68009
-0.677032471,27,-3.85162E-05,-0.677978516,948.6201326,10 µA,,3.85162E-05,4.90404E-05,-4.30944605,,-4.3101,-0.67854
-0.675506592,28,-3.82263E-05,-0.676757813,950.1460116,10 µA,,3.82263E-05,4.86713E-05,-4.312727409,,-4.31251,-0.67698
-0.673980713,29,-3.80096E-05,-0.675140381,951.6718906,10 µA,,3.80096E-05,4.83954E-05,-4.315196084,,-4.31512,-0.67543
-0.672454834,30,-3.7793E-05,-0.673706055,953.1977696,10 µA,,3.7793E-05,4.81195E-05,-4.317678873,,-4.31775,-0.67388
-0.670928955,31,-3.75763E-05,-0.671783447,954.7236486,10 µA,,3.75763E-05,4.78436E-05,-4.320175937,,-4.32005,-0.67233
-0.669403076,32,-3.73993E-05,-0.670593262,956.2495276,10 µA,,3.73993E-05,4.76183E-05,-4.322226501,,-4.32241,-0.67077
-0.667877197,33,-3.71918E-05,-0.668914795,957.7754066,10 µA,,3.71918E-05,4.7354E-05,-4.324643005,,-4.32461,-0.66922
-0.666351318,34,-3.70026E-05,-0.667541504,959.3012856,10 µA,,3.70026E-05,4.71131E-05,-4.326858069,,-4.32673,-0.66767
-0.664825439,35,-3.68561E-05,-0.666168213,960.8271646,10 µA,,3.68561E-05,4.69266E-05,-4.32858075,,-4.3287,-0.66612
-0.663299561,36,-3.66882E-05,-0.664459229,962.3530436,10 µA,,3.66882E-05,4.67129E-05,-4.330563093,,-4.33038,-0.66457
-0.661773682,37,-3.65631E-05,-0.662628174,963.8789226,10 µA,,3.65631E-05,4.65536E-05,-4.332046748,,-4.33218,-0.66301
-0.660247803,38,-3.64166E-05,-0.661224365,965.4048016,10 µA,,3.64166E-05,4.63671E-05,-4.333790176,,-4.33403,-0.66146
-0.658721924,39,-3.62152E-05,-0.659973145,966.9306806,10 µA,,3.62152E-05,4.61106E-05,-4.336198874,,-4.33588,-0.65991
-0.657196045,40,-3.60962E-05,-0.658081055,968.4565596,10 µA,,3.60962E-05,4.59591E-05,-4.3376285,,-4.33767,-0.65836
-0.655670166,41,-3.59528E-05,-0.656982422,969.9824386,10 µA,,3.59528E-05,4.57765E-05,-4.33935766,,-4.33936,-0.65681
-0.654144287,42,-3.58337E-05,-0.655273438,971.5083175,10 µA,,3.58337E-05,4.56249E-05,-4.34079774,,-4.34094,-0.65526
-0.652618408,43,-3.56781E-05,-0.653533936,973.0341965,10 µA,,3.56781E-05,4.54268E-05,-4.342688156,,-4.34258,-0.65371
-0.651092529,44,-3.55438E-05,-0.651885986,974.5600755,10 µA,,3.55438E-05,4.52558E-05,-4.344325741,,-4.3443,-0.65216
-0.64956665,45,-3.54248E-05,-0.650543213,976.0859545,10 µA,,3.54248E-05,4.51043E-05,-4.345782417,,-4.34594,-0.65061
-0.648040771,46,-3.52661E-05,-0.648956299,977.6118335,10 µA,,3.52661E-05,4.49022E-05,-4.347732283,,-4.3475,-0.64906
-0.646514893,47,-3.51746E-05,-0.647247314,979.1377125,10 µA,,3.51746E-05,4.47856E-05,-4.348861201,,-4.34901,-0.64752
-0.644989014,48,-3.50372E-05,-0.645782471,980.6635915,10 µA,,3.50372E-05,4.46108E-05,-4.350560099,,-4.35045,-0.64597
-0.643463135,49,-3.49335E-05,-0.64440918,982.1894705,10 µA,,3.49335E-05,4.44787E-05,-4.351848134,,-4.35196,-0.64442
-0.641937256,50,-3.48083E-05,-0.642852783,983.7153495,10 µA,,3.48083E-05,4.43194E-05,-4.353406449,,-4.35353,-0.64287
-0.640411377,51,-3.46558E-05,-0.641204834,985.2412285,10 µA,,3.46558E-05,4.41251E-05,-4.355314432,,-4.35502,-0.64132
-0.638885498,52,-3.45734E-05,-0.639953613,986.7671075,10 µA,,3.45734E-05,4.40202E-05,-4.35634824,,-4.35653,-0.63978
-0.637359619,53,-3.44513E-05,-0.638336182,988.2929865,10 µA,,3.44513E-05,4.38647E-05,-4.357884343,,-4.35786,-0.63823
-0.63583374,54,-3.43445E-05,-0.636962891,989.8188655,10 µA,,3.43445E-05,4.37288E-05,-4.359232906,,-4.35913,-0.63668
-0.634307861,55,-3.42529E-05,-0.635406494,991.3447445,10 µA,,3.42529E-05,4.36122E-05,-4.360392158,,-4.36054,-0.63513
-0.632781982,56,-3.41278E-05,-0.633758545,992.8706235,10 µA,,3.41278E-05,4.34529E-05,-4.361981491,,-4.36198,-0.63359
-0.631256104,57,-3.40118E-05,-0.63192749,994.3965025,10 µA,,3.40118E-05,4.33052E-05,-4.363459744,,-4.36341,-0.63204
-0.629730225,58,-3.38928E-05,-0.63079834,995.9223815,10 µA,,3.38928E-05,4.31537E-05,-4.364982147,,-4.36494,-0.63049
-0.628204346,59,-3.38043E-05,-0.629058838,997.4482605,10 µA,,3.38043E-05,4.3041E-05,-4.366117661,,-4.36627,-0.62895
-0.626678467,60,-3.36761E-05,-0.627655029,998.9741395,10 µA,,3.36761E-05,4.28778E-05,-4.367767479,,-4.36741,-0.6274
-0.625152588,61,-3.36182E-05,-0.625946045,1000.500018,10 µA,,3.36182E-05,4.2804E-05,-4.368515889,,-4.36871,-0.62586
-0.623626709,62,-3.35205E-05,-0.624725342,1002.025897,10 µA,,3.35205E-05,4.26796E-05,-4.369779292,,-4.37012,-0.62431
-0.62210083,63,-3.33557E-05,-0.62310791,1003.551776,10 µA,,3.33557E-05,4.24698E-05,-4.371919654,,-4.37154,-0.62277
-0.620574951,64,-3.32703E-05,-0.621612549,1005.077655,10 µA,,3.32703E-05,4.2361E-05,-4.373033639,,-4.373,-0.62122
-0.619049072,65,-3.31726E-05,-0.62020874,1006.603534,10 µA,,3.31726E-05,4.22367E-05,-4.374310272,,-4.37439,-0.61968
-0.617523193,66,-3.30872E-05,-0.618347168,1008.129413,10 µA,,3.30872E-05,4.21279E-05,-4.375430413,,-4.37559,-0.61813
-0.615997314,67,-3.29559E-05,-0.616729736,1009.655292,10 µA,,3.29559E-05,4.19608E-05,-4.377156275,,-4.37693,-0.61659
-0.614471436,68,-3.28735E-05,-0.615386963,1011.181171,10 µA,,3.28735E-05,4.18559E-05,-4.378243472,,-4.37839,-0.61505
-0.612945557,69,-3.27606E-05,-0.613708496,1012.70705,10 µA,,3.27606E-05,4.17121E-05,-4.379737768,,-4.37977,-0.6135
-0.611419678,70,-3.26416E-05,-0.612213135,1014.232929,10 µA,,3.26416E-05,4.15606E-05,-4.381318422,,-4.38103,-0.61196
-0.609893799,71,-3.25745E-05,-0.610900879,1015.758808,10 µA,,3.25745E-05,4.14751E-05,-4.382212618,,-4.38253,-0.61042
-0.60836792,72,-3.24554E-05,-0.609008789,1017.284687,10 µA,,3.24554E-05,4.13236E-05,-4.383802322,,-4.38382,-0.60887
-0.606842041,73,-3.23212E-05,-0.607574463,1018.810566,10 µA,,3.23212E-05,4.11526E-05,-4.385602848,,-4.38521,-0.60733
-0.605316162,74,-3.22693E-05,-0.606201172,1020.336445,10 µA,,3.22693E-05,4.10865E-05,-4.38630051,,-4.38673,-0.60579
-0.603790283,75,-3.21198E-05,-0.604675293,1021.862324,10 µA,,3.21198E-05,4.08961E-05,-4.388317712,,-4.38821,-0.60425
-0.602264404,76,-3.2016E-05,-0.603118896,1023.388203,10 µA,,3.2016E-05,4.0764E-05,-4.389722929,,-4.38963,-0.60271
-0.600738525,77,-3.19061E-05,-0.601409912,1024.914082,10 µA,,3.19061E-05,4.06241E-05,-4.391215779,,-4.39117,-0.60117
-0.599212646,78,-3.18207E-05,-0.600250244,1026.439961,10 µA,,3.18207E-05,4.05153E-05,-4.392380443,,-4.39254,-0.59962
-0.597686768,79,-3.17078E-05,-0.598419189,1027.96584,10 µA,,3.17078E-05,4.03716E-05,-4.393924269,,-4.3939,-0.59808
-0.596160889,80,-3.1601E-05,-0.596832275,1029.491719,10 µA,,3.1601E-05,4.02356E-05,-4.395389713,,-4.39522,-0.59654
-0.59463501,81,-3.15216E-05,-0.595245361,1031.017598,10 µA,,3.15216E-05,4.01346E-05,-4.396481539,,-4.39656,-0.595
-0.593109131,82,-3.14209E-05,-0.59362793,1032.543477,10 µA,,3.14209E-05,4.00063E-05,-4.397871282,,-4.39798,-0.59346
-0.591583252,83,-3.13049E-05,-0.592437744,1034.069356,10 µA,,3.13049E-05,3.98587E-05,-4.399477122,,-4.3995,-0.59192
-0.590057373,84,-3.11737E-05,-0.590637207,1035.595235,10 µA,,3.11737E-05,3.96916E-05,-4.401301445,,-4.40114,-0.59038
-0.588531494,85,-3.1073E-05,-0.589385986,1037.121114,10 µA,,3.1073E-05,3.95634E-05,-4.402706724,,-4.40274,-0.58884
-0.587005615,86,-3.09601E-05,-0.587799072,1038.646993,10 µA,,3.09601E-05,3.94196E-05,-4.404287765,,-4.40433,-0.5873
-0.585479736,87,-3.08441E-05,-0.586273193,1040.172872,10 µA,,3.08441E-05,3.92719E-05,-4.405917551,,-4.40596,-0.58576
-0.583953857,88,-3.0722E-05,-0.584838867,1041.698751,10 µA,,3.0722E-05,3.91165E-05,-4.407639748,,-4.40763,-0.58422
-0.582427979,89,-3.0603E-05,-0.583312988,1043.22463,10 µA,,3.0603E-05,3.8965E-05,-4.409325491,,-4.40915,-0.58269
-0.5809021,90,-3.05084E-05,-0.581695557,1044.750509,10 µA,,3.05084E-05,3.88445E-05,-4.410670124,,-4.41071,-0.58115
-0.579376221,91,-3.04077E-05,-0.580413818,1046.276388,10 µA,,3.04077E-05,3.87163E-05,-4.412106097,,-4.41242,-0.57961
-0.577850342,92,-3.02582E-05,-0.57901001,1047.802267,10 µA,,3.02582E-05,3.85259E-05,-4.414247098,,-4.41408,-0.57807
-0.576324463,93,-3.0127E-05,-0.577178955,1049.328146,10 µA,,3.0127E-05,3.83588E-05,-4.41613467,,-4.41584,-0.57653
-0.574798584,94,-3.00476E-05,-0.575775146,1050.854025,10 µA,,3.00476E-05,3.82578E-05,-4.417279985,,-4.41763,-0.575
-0.573272705,95,-2.99042E-05,-0.574188232,1052.379904,10 µA,,2.99042E-05,3.80752E-05,-4.419358059,,-4.41935,-0.57346
-0.571746826,96,-2.97729E-05,-0.572418213,1053.905783,10 µA,,2.97729E-05,3.79081E-05,-4.421268025,,-4.42112,-0.57192
-0.570220947,97,-2.9657E-05,-0.571228027,1055.431662,10 µA,,2.9657E-05,3.77604E-05,-4.422962922,,-4.42293,-0.57039
-0.568695068,98,-2.95441E-05,-0.569671631,1056.957541,10 µA,,2.95441E-05,3.76167E-05,-4.424619596,,-4.42467,-0.56885
-0.567169189,99,-2.9425E-05,-0.567962646,1058.48342,10 µA,,2.9425E-05,3.74651E-05,-4.426372689,,-4.4265,-0.56731
-0.565643311,100,-2.92786E-05,-0.566436768,1060.009299,10 µA,,2.92786E-05,3.72786E-05,-4.428540102,,-4.42849,-0.56578
-0.564117432,101,-2.91443E-05,-0.564910889,1061.535178,10 µA,,2.91443E-05,3.71077E-05,-4.430536445,,-4.43044,-0.56424
-0.562591553,102,-2.90131E-05,-0.563598633,1063.061057,10 µA,,2.90131E-05,3.69406E-05,-4.432496322,,-4.43241,-0.56271
-0.561065674,103,-2.89032E-05,-0.561828613,1064.586936,10 µA,,2.89032E-05,3.68007E-05,-4.43414398,,-4.43442,-0.56117
-0.559539795,104,-2.87445E-05,-0.560546875,1066.112815,10 µA,,2.87445E-05,3.65986E-05,-4.436535019,,-4.43639,-0.55964
-0.558013916,105,-2.86041E-05,-0.558837891,1067.638694,10 µA,,2.86041E-05,3.64199E-05,-4.438661199,,-4.43854,-0.5581
-0.556488037,106,-2.84851E-05,-0.557250977,1069.164573,10 µA,,2.84851E-05,3.62684E-05,-4.44047202,,-4.44072,-0.55657
-0.554962158,107,-2.83142E-05,-0.555786133,1070.690452,10 µA,,2.83142E-05,3.60508E-05,-4.443085448,,-4.44288,-0.55503
-0.553436279,108,-2.8186E-05,-0.554168701,1072.216331,10 µA,,2.8186E-05,3.58876E-05,-4.445055892,,-4.44526,-0.5535
-0.5519104,109,-2.80212E-05,-0.552612305,1073.74221,10 µA,,2.80212E-05,3.56778E-05,-4.447602528,,-4.44751,-0.55197
-0.550384521,110,-2.78656E-05,-0.55078125,1075.268089,10 µA,,2.78656E-05,3.54796E-05,-4.450021474,,-4.44972,-0.55043
-0.548858643,111,-2.77649E-05,-0.549743652,1076.793968,10 µA,,2.77649E-05,3.53514E-05,-4.451593884,,-4.45208,-0.5489
