Potential applied (V),Index,WE(1).Current (A),WE(1).Potential (V),Time (s),Current range,,ABS,ABS /Area,LOG J,,log j,Potential
-0.653991699,1,-0.000440979,-0.654754639,909.0907307,100 mA,,0.000440979,0.000561472,-3.250671969,,-3.71628,-0.65343
-0.653839111,2,-0.00035553,-0.654693604,909.2433187,100 mA,,0.00035553,0.000452675,-3.344213891,,-3.72322,-0.65328
-0.653686523,3,-0.000305481,-0.654449463,909.3959067,100 mA,,0.000305481,0.00038895,-3.410105739,,-3.73012,-0.65313
-0.653533936,4,-0.000273132,-0.654266357,909.5484947,100 mA,,0.000273132,0.000347763,-3.458716781,,-3.73699,-0.65298
-0.653381348,5,-0.000210846,-0.65411377,909.7010827,10 mA,,0.000210846,0.000268457,-3.571124624,,-3.74382,-0.65283
-0.65322876,6,-0.000193237,-0.65411377,909.8536707,10 mA,,0.000193237,0.000246037,-3.60899891,,-3.75061,-0.65268
-0.653076172,7,-0.000179352,-0.653961182,910.0062587,10 mA,,0.000179352,0.000228358,-3.641384126,,-3.75736,-0.65253
-0.652923584,8,-0.000167908,-0.653686523,910.1588467,10 mA,,0.000167908,0.000213787,-3.67001923,,-3.76408,-0.65237
-0.652770996,9,-0.000158478,-0.653625488,910.3114347,10 mA,,0.000158478,0.00020178,-3.695121494,,-3.77075,-0.65222
-0.652618408,10,-0.000146667,-0.653442383,910.4640227,1 mA,,0.000146667,0.000186743,-3.72875605,,-3.77739,-0.65207
-0.65246582,11,-0.000139832,-0.653137207,910.6166107,1 mA,,0.000139832,0.000178039,-3.749484731,,-3.784,-0.65192
-0.652313232,12,-0.00013382,-0.652923584,910.7691987,1 mA,,0.00013382,0.000170384,-3.768570219,,-3.79056,-0.65177
-0.652160645,13,-0.000128448,-0.653106689,910.9217867,1 mA,,0.000128448,0.000163546,-3.786360891,,-3.79709,-0.65162
-0.652008057,14,-0.000123779,-0.652587891,911.0743747,1 mA,,0.000123779,0.000157601,-3.80244187,,-3.80358,-0.65147
-0.651855469,15,-0.00011908,-0.652862549,911.2269627,100 µA,,0.00011908,0.000151617,-3.819252551,,-3.81003,-0.65132
